Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),AI Rationale for the selection of the source/EF,Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,Ai Rationale for the selection,,,
Rest-of-World,Plastic,Melamine-Formaldehyde (MF),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11,"Assessment of Suitability: A3-only Cradle-to-Gate Environmental Impacts for Plastic – Melamine-Formaldehyde (MF)
✅ Assessment Outcome:
Proxy – Injection moulding process from ecoinvent is a reasonable proxy for MF plastic products, but not a direct match.",,,
Rest-of-World,Plastic,Polyvinyl Butyral (PVB),laminating with PVB via autoclave,EPD,"In the A3 stage, PVB is laminated between glass sheets through a heat and pressure process. After initial bonding with heated rollers, the assembly is autoclaved at high temperature to fuse the layers. This autoclave step is energy-intensive and drives most of the A3 emissions. Though PVB is a small mass fraction, it significantly contributes to A3 impact due to the processing demands.","In the A3 manufacturing stage of laminated glass, the Polyvinyl Butyral (PVB) interlayer plays a central role in the lamination process. PVB sheets are placed between layers of flat glass and initially bonded through a pre-lamination step using heated rollers to remove air and ensure alignment. The assembly is then transferred to an autoclave, where it undergoes high-temperature (typically 130–150 °C) and high-pressure treatment to permanently bond the glass and PVB layers. This autoclaving process is energy-intensive and constitutes the most significant contributor to A3-stage emissions. Following lamination, the glass edges are trimmed, and the finished product is packaged using materials like plastic film, cardboard, and wooden supports. Although PVB represents a small portion of the product’s mass, it is responsible for a disproportionately high share of the A3 environmental impact due to the thermal and mechanical demands of the bonding process.",1," Dataset Source:
From the EPD for Şişecam laminated glass (S-P-04818)0:
Declared unit: 1 m² of laminated glass = 15 kg total
Raw material share:
Flat glass: 97–99%
PVB: 1–3%
For calculation, we use PVB = 0.08 kg per 2.5 kg (as per your earlier data), so PVB = 3.2% of total mass.
A3 GWP Total for 1 m² Laminated Glass:
A3 (Manufacturing only) = 5.5 kg CO₂e (from total A1–A3 of 19.1 kg CO₂e, assuming 29% of impact is A3, as estimated in prior calculations from breakdown logic).
Mass Share Basis:
If PVB is 0.08 kg per 2.5 kg of product, then:
Per kg of product: 0.08 / 2.5 = 0.032 kg PVB
So, 1 kg PVB is equivalent to 31.25 kg product
Scale GWP to 1 kg of PVB:
Multiply the A3 GWP per kg of product by the product mass equivalent:
A3 GWP per kg of laminated glass = 5.5 / 15 = 0.367 kg CO₂e
A3 GWP per 1 kg PVB = 0.367 × 31.25 = 11.47 kg CO₂e
✅ Final Result
A3 GWP for 1 kg of PVB = ~11.5 kg CO₂e
(rounded from 11.47 kg CO₂e)
Based on Şişecam EPD for laminated glass (S-P-04818)",,S-P-04818 Laminated Glass (with PVB Layer) 20221001 - 20270930.pdf,0.184,,,EPD,EPD,"✅ Assessment: Suitability of Ecoinvent 3.11 “Injection Moulding – RoW” Dataset for A3-Only Impacts of Polyvinyl Butyral (PVB)
🧩 Assessment Outcome:
🔴 Not Suitable
(Material and manufacturing process are fundamentally different; A3 process coverage does not align with PVB sheet or film production.)
    
Assessment of A3-Only Environmental Impacts for Polyvinyl Butyral (PVB) Based on the Stronglasas Laminated Glass EPD
Source EPD: Laminated Glass from JSC “Stronglasas”
EPD Number: S-P-10600
Scope: 1 m² of 1 mm thick laminated tempered glass (2.5 kg total weight, with 0.08 kg EVA or PVB interlayer)
A3 GWP (Manufacturing stage): 0.101 kg CO₂-eq

Metric        Value
A3 GWP (full product, 1 m²)        0.101 kg CO₂-eq
PVB share in product (mass)        3.2% (0.08 kg out of 2.5 kg)
Estimated PVB share of A3 emissions        ~20% of A3 GWP
⚖ A3 GWP for PVB (mass-normalized)        ~0.252 kg CO₂-eq/kg PVB ",,,
Belgium,Plastic,Polyvinyl Butyral (PVB),SaflexTM LiteCarbonTM,EPD,,,,,,EPD_Saflex Lite Carbon Clear_IES-0016826_Global_102024 102029.pdf,0.449,"In the Environmental Impact table (Unit: 1 m²), the value for:

GWP-GHG (A1–A3) = 2.43E+00 kg CO₂e/m²

🔁 Conversion to per kg
Declared mass per m² = 0.813 kg (page 4)

So,

2.43
0.813
=
2.99
 
kg CO₂e/kg
0.813
2.43
​
 =2.99kg CO₂e/kg
This is your corrected GWP-GHG for A1–A3 per kg of product.

📊 Updated Breakdown of A1, A2, and A3 (per kg)
Using the same assumed allocation (based on industry norms for PVB-based interlayers):

Stage	Assumed Share (%)	Formula	CO₂e (kg CO₂e/kg)	Description
A1	80%	0.80 × 2.99	2.392	Raw material production (PVB resins, plasticizers)
A2	5%	0.05 × 2.99	0.150	Raw material logistics (regional/global)
A3	15%	0.15 × 2.99	0.449	Film manufacturing, extrusion, packaging
Total A1–A3	100%	Sum of A1 + A2 + A3	2.99	Matches derived GWP-GHG total
",,,,,,,
Europe,Plastic,Phenolic Resin,Formaldehyde-phenol resin for mineral wool,EPD,,,,,,IES-0023087 Formaldehyde-Phenol Resin for Mineral Wool__Global_25062025–25062030.pdf,0.134,A3 of the EPD,,,,,,,
Rest-of-World,Plastic,Thermoplastic Elastomers (TPE),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11," Assessment of Dataset Suitability for TPE (Thermoplastic Elastomers) – A3 Stage Focus
Dataset Reviewed: ecoinvent 3.11 – ""Injection moulding - RoW - injection moulding""
Material Class & Type: Plastic – Thermoplastic Elastomers (TPE)

✅ Assessment Result: Proxy",,,
Switzerland,Stone,Marble,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,,3.11-cutoff-6831.pdf,0.804,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Stone,Marble,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,,3.11-cutoff-8037.pdf,0.965,,,Ecoinvent,Ecoinvent V 3.11,,,,
Switzerland,Stone,Granite,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,,3.11-cutoff-6831.pdf,0.804,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Stone,Granite,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,,3.11-cutoff-8037.pdf,0.965,,,Ecoinvent,Ecoinvent V 3.11,,,,
Switzerland,Stone,Quartz,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,,3.11-cutoff-6831.pdf,0.804,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Stone,Quartz,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,,3.11-cutoff-8037.pdf,0.965,,,Ecoinvent,Ecoinvent V 3.11,,,,
,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),Installation of stone countertop is considered due to the nature of the production associated with furniture and such  products,92.2300,,The source provided kWh/kg of 1m2 related energy and alos the weight of 1m2,EPD Natural Stone Countertops  2022/11/01 – 2027/10/31.pdf,Keep out of backend updates,0.15/92.23,0.0016,"Energy consumption associated with the installation of 1 m² (92.23 kg) of countertop is considered. The construction phase is excluded, as the stone material is assumed to be prepared during the customer’s pre-installation phase and is accounted for in the material database.",EPD (Sustainable Minds Transparency Report),,,,
China,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Vietnam,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Global,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Czech Republic,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
France,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0001,,,,,,,,
Netherlands,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Poland,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
Spain,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0003,,,,,,,,
Taiwan,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
United States ,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
India,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
United Kingdom,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0005,,,,,,,,
Rest-of-World,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),Installation of stone countertop is considered due to the nature of the production associated with furniture and such  products,92.2300,,The source provided kWh/kg of 1m2 related energy and alos the weight of 1m2,EPD Natural Stone Countertops  2022/11/01 – 2027/10/31.pdf,Keep out of backend updates,0.15/92.23,0.0016,"Energy consumption associated with the installation of 1 m² (92.23 kg) of countertop is considered. The construction phase is excluded, as the stone material is assumed to be prepared during the customer’s pre-installation phase and is accounted for in the material database.",EPD (Sustainable Minds Transparency Report),,,,
China,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Vietnam,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Global,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Czech Republic,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
France,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0001,,,,,,,,
Netherlands,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Poland,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
Spain,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0003,,,,,,,,
Taiwan,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
United States ,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
India,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
United Kingdom,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0005,,,,,,,,
Rest-of-World,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),Installation of stone countertop is considered due to the nature of the production associated with furniture and such  products,92.2300,,The source provided kWh/kg of 1m2 related energy and alos the weight of 1m2,EPD Natural Stone Countertops  2022/11/01 – 2027/10/31.pdf,Keep out of backend updates,0.15/92.23,0.0016,"Energy consumption associated with the installation of 1 m² (92.23 kg) of countertop is considered. The construction phase is excluded, as the stone material is assumed to be prepared during the customer’s pre-installation phase and is accounted for in the material database.",EPD (Sustainable Minds Transparency Report),,,,
China,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Vietnam,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Global,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Czech Republic,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
France,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0001,,,,,,,,
Netherlands,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
Poland,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
Spain,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0003,,,,,,,,
Taiwan,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
United States ,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.001,,,,,,,,
India,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
United Kingdom,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.0005,,,,,,,,
Rest-of-World,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,,0.002,,,,,,,,
Switzerland,Stone,Basalt,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,,3.11-cutoff-6831.pdf,0.804,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Stone,Basalt,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,,3.11-cutoff-8037.pdf,0.965,,,Ecoinvent,Ecoinvent V 3.11,,,,
Switzerland,Stone,Jasper,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,,3.11-cutoff-6831.pdf,0.804,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Stone,Jasper,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,,3.11-cutoff-8037.pdf,0.965,,,Ecoinvent,Ecoinvent V 3.11,,,,
Europe,Metal,Stainless Steel,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,Total material weight of the product,3.11-cutoff-8721.pdf,2.390,,,Acceptable proxy for stainless steel if material input is stainless steel,Ecoinvent V 3.11,"
✅ Suitability Assessment: Direct Match (✔️)
Dataset: ""metal working, average for metal product manufacturing – RER""
Material Class & Type: Metal → Stainless Steel

Dataset Scope: Manufacturing-stage (A3)",,,
China,Metal,Stainless Steel,"A3 (manufacturing processes) contributes 5–7%, especially for stainless steel, which often requires energy-intensive finishing processes (e.g., welding, polishing, cutting).",EPD,,,,,,EPD_Taicang Gronsedt – Stainless Steel_China_EPD-CN-00014报告_122023 122028.pdf,0.402,,,,,,,,
India,Metal,Stainless Steel,Stainless Steel Cast & Rolled Products manufactuirng process,EPD,,,,,,EPD_StainlessSteelCastAndRolledProducts_India_S-P-09813_2023-12_to_2028-12.pdf,1.870,"✅ Final Emission Values per kg
Module	GWP (kg CO₂e/kg)	Directly Declared	Notes
A1	0.144	✅ Yes	Upstream incl. raw material transport (A2)
A2	Included in A1	❌ Not separately declared	Transport is modeled but not separated
A3	1.87	✅ Yes	Core manufacturing processes
Total (A1–A3)	2.01	✅ Matches EPD total	Logical sum of above",,,,,,,
